search_term,initial_category,candidate_knowledge_point,domain_seed,subdomain_seed,default_start_sec,default_end_sec,why_dynamic,notes,collector_notes
silver chloride precipitate video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,precipitation_and_solubility,0,60,Solutions become cloudy or solid particles appear after mixing.,principle_id=CHM_PRE_001; priority=core; reject=Reject if the solid is already present before mixing or the identity is only in source text.; hard_negative_family=gas bubbles; dye diffusion; crystallization front,principle_id=CHM_PRE_001; priority=core; reject=Reject if the solid is already present before mixing or the identity is only in source text.; hard_negative_family=gas bubbles; dye diffusion; crystallization front
lead iodide precipitation video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,precipitation_and_solubility,0,60,Solutions become cloudy or solid particles appear after mixing.,principle_id=CHM_PRE_001; priority=core; reject=Reject if the solid is already present before mixing or the identity is only in source text.; hard_negative_family=gas bubbles; dye diffusion; crystallization front,principle_id=CHM_PRE_001; priority=core; reject=Reject if the solid is already present before mixing or the identity is only in source text.; hard_negative_family=gas bubbles; dye diffusion; crystallization front
diffusion precipitation band reaction video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,precipitation_and_solubility,0,60,"Solid appears where two liquids meet, often as rings, tubes, or membranes.",principle_id=CHM_PRE_002; priority=core; reject=Reject bulk turbidity without visible interface or local formation.; hard_negative_family=homogeneous crystallization; pH color; gas evolution,principle_id=CHM_PRE_002; priority=core; reject=Reject bulk turbidity without visible interface or local formation.; hard_negative_family=homogeneous crystallization; pH color; gas evolution
chemical garden precipitation tube growth video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,precipitation_and_solubility,0,60,"Solid appears where two liquids meet, often as rings, tubes, or membranes.",principle_id=CHM_PRE_002; priority=core; reject=Reject bulk turbidity without visible interface or local formation.; hard_negative_family=homogeneous crystallization; pH color; gas evolution,principle_id=CHM_PRE_002; priority=core; reject=Reject bulk turbidity without visible interface or local formation.; hard_negative_family=homogeneous crystallization; pH color; gas evolution
Liesegang ring precipitation time lapse,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,precipitation_and_solubility,0,60,"Solid appears where two liquids meet, often as rings, tubes, or membranes.",principle_id=CHM_PRE_002; priority=core; reject=Reject bulk turbidity without visible interface or local formation.; hard_negative_family=homogeneous crystallization; pH color; gas evolution,principle_id=CHM_PRE_002; priority=core; reject=Reject bulk turbidity without visible interface or local formation.; hard_negative_family=homogeneous crystallization; pH color; gas evolution
gas evolution reaction bubbles video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,gas_evolution_and_combustion,0,60,"Bubbles nucleate and rise, foam grows, or liquid volume changes after reactants meet.",principle_id=CHM_GAS_001; priority=core; reject=Reject ordinary boiling or pre-existing bubbles.; hard_negative_family=boiling; precipitation; diffusion,principle_id=CHM_GAS_001; priority=core; reject=Reject ordinary boiling or pre-existing bubbles.; hard_negative_family=boiling; precipitation; diffusion
acid carbonate reaction bubbles video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,gas_evolution_and_combustion,0,60,"Bubbles nucleate and rise, foam grows, or liquid volume changes after reactants meet.",principle_id=CHM_GAS_001; priority=core; reject=Reject ordinary boiling or pre-existing bubbles.; hard_negative_family=boiling; precipitation; diffusion,principle_id=CHM_GAS_001; priority=core; reject=Reject ordinary boiling or pre-existing bubbles.; hard_negative_family=boiling; precipitation; diffusion
hydrogen gas evolution reaction video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,gas_evolution_and_combustion,0,60,"Bubbles nucleate and rise, foam grows, or liquid volume changes after reactants meet.",principle_id=CHM_GAS_001; priority=core; reject=Reject ordinary boiling or pre-existing bubbles.; hard_negative_family=boiling; precipitation; diffusion,principle_id=CHM_GAS_001; priority=core; reject=Reject ordinary boiling or pre-existing bubbles.; hard_negative_family=boiling; precipitation; diffusion
flame extinction oxygen deprivation video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,gas_evolution_and_combustion,0,60,"Flame appears, propagates, or extinguishes after oxygen/fuel/temperature changes.",principle_id=CHM_GAS_002; priority=core; reject=Reject clips that only show a flame without causal change.; hard_negative_family=redox color; evaporation; glow without flame,principle_id=CHM_GAS_002; priority=core; reject=Reject clips that only show a flame without causal change.; hard_negative_family=redox color; evaporation; glow without flame
combustion reaction ignition video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,gas_evolution_and_combustion,0,60,"Flame appears, propagates, or extinguishes after oxygen/fuel/temperature changes.",principle_id=CHM_GAS_002; priority=core; reject=Reject clips that only show a flame without causal change.; hard_negative_family=redox color; evaporation; glow without flame,principle_id=CHM_GAS_002; priority=core; reject=Reject clips that only show a flame without causal change.; hard_negative_family=redox color; evaporation; glow without flame
hydrogen gas ignition bubbles video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,gas_evolution_and_combustion,0,60,"Flame appears, propagates, or extinguishes after oxygen/fuel/temperature changes.",principle_id=CHM_GAS_002; priority=core; reject=Reject clips that only show a flame without causal change.; hard_negative_family=redox color; evaporation; glow without flame,principle_id=CHM_GAS_002; priority=core; reject=Reject clips that only show a flame without causal change.; hard_negative_family=redox color; evaporation; glow without flame
dye diffusion concentration gradient time lapse,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,diffusion_mixing_and_transport,0,60,Dye or solute front broadens from high concentration to low concentration.,principle_id=CHM_DIF_001; priority=core; reject=Reject turbulent stirring when diffusion cannot be separated.; hard_negative_family=vortex mixing; precipitation; convection,principle_id=CHM_DIF_001; priority=core; reject=Reject turbulent stirring when diffusion cannot be separated.; hard_negative_family=vortex mixing; precipitation; convection
diffusion in water dye time lapse,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,diffusion_mixing_and_transport,0,60,Dye or solute front broadens from high concentration to low concentration.,principle_id=CHM_DIF_001; priority=core; reject=Reject turbulent stirring when diffusion cannot be separated.; hard_negative_family=vortex mixing; precipitation; convection,principle_id=CHM_DIF_001; priority=core; reject=Reject turbulent stirring when diffusion cannot be separated.; hard_negative_family=vortex mixing; precipitation; convection
microfluidic diffusion video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,diffusion_mixing_and_transport,0,60,Dye or solute front broadens from high concentration to low concentration.,principle_id=CHM_DIF_001; priority=core; reject=Reject turbulent stirring when diffusion cannot be separated.; hard_negative_family=vortex mixing; precipitation; convection,principle_id=CHM_DIF_001; priority=core; reject=Reject turbulent stirring when diffusion cannot be separated.; hard_negative_family=vortex mixing; precipitation; convection
laminar mixing stretching folding dye video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,diffusion_mixing_and_transport,0,60,Colored bands elongate into thin layers and may reverse under reversed shear.,principle_id=CHM_DIF_002; priority=core; reject=Reject fully turbulent mixing or simple shaking.; hard_negative_family=diffusion only; vortex turbulence; precipitation,principle_id=CHM_DIF_002; priority=core; reject=Reject fully turbulent mixing or simple shaking.; hard_negative_family=diffusion only; vortex turbulence; precipitation
reversible laminar mixing video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,diffusion_mixing_and_transport,0,60,Colored bands elongate into thin layers and may reverse under reversed shear.,principle_id=CHM_DIF_002; priority=core; reject=Reject fully turbulent mixing or simple shaking.; hard_negative_family=diffusion only; vortex turbulence; precipitation,principle_id=CHM_DIF_002; priority=core; reject=Reject fully turbulent mixing or simple shaking.; hard_negative_family=diffusion only; vortex turbulence; precipitation
Taylor Couette mixing dye video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,diffusion_mixing_and_transport,0,60,Colored bands elongate into thin layers and may reverse under reversed shear.,principle_id=CHM_DIF_002; priority=core; reject=Reject fully turbulent mixing or simple shaking.; hard_negative_family=diffusion only; vortex turbulence; precipitation,principle_id=CHM_DIF_002; priority=core; reject=Reject fully turbulent mixing or simple shaking.; hard_negative_family=diffusion only; vortex turbulence; precipitation
shear thickening cornstarch impact slow motion,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,material_deformation_and_response,0,60,Material behaves liquid under slow motion but solid-like under impact.,principle_id=CHM_MAT_001; priority=core; reject=Reject generic thick liquids without rate-dependent contrast.; hard_negative_family=gelation; plastic deformation; surface tension,principle_id=CHM_MAT_001; priority=core; reject=Reject generic thick liquids without rate-dependent contrast.; hard_negative_family=gelation; plastic deformation; surface tension
oobleck impact resistance video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,material_deformation_and_response,0,60,Material behaves liquid under slow motion but solid-like under impact.,principle_id=CHM_MAT_001; priority=core; reject=Reject generic thick liquids without rate-dependent contrast.; hard_negative_family=gelation; plastic deformation; surface tension,principle_id=CHM_MAT_001; priority=core; reject=Reject generic thick liquids without rate-dependent contrast.; hard_negative_family=gelation; plastic deformation; surface tension
heat softening material deformation video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,material_deformation_and_response,0,60,"Material deforms, sags, flows, or breaks as temperature increases.",principle_id=CHM_MAT_002; priority=core; reject=Reject post-heating final shape without thermal sequence.; hard_negative_family=mechanical cutting; crystallization; combustion,principle_id=CHM_MAT_002; priority=core; reject=Reject post-heating final shape without thermal sequence.; hard_negative_family=mechanical cutting; crystallization; combustion
polymer melting deformation time lapse,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,material_deformation_and_response,0,60,"Material deforms, sags, flows, or breaks as temperature increases.",principle_id=CHM_MAT_002; priority=core; reject=Reject post-heating final shape without thermal sequence.; hard_negative_family=mechanical cutting; crystallization; combustion,principle_id=CHM_MAT_002; priority=core; reject=Reject post-heating final shape without thermal sequence.; hard_negative_family=mechanical cutting; crystallization; combustion
glass softening heat shaping video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,material_deformation_and_response,0,60,"Material deforms, sags, flows, or breaks as temperature increases.",principle_id=CHM_MAT_002; priority=core; reject=Reject post-heating final shape without thermal sequence.; hard_negative_family=mechanical cutting; crystallization; combustion,principle_id=CHM_MAT_002; priority=core; reject=Reject post-heating final shape without thermal sequence.; hard_negative_family=mechanical cutting; crystallization; combustion
mitosis chromosome segregation time lapse microscopy,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,germination_and_development,0,60,Chromosomes align at the metaphase plate and move toward opposite poles.,principle_id=BIO_CELL_001; priority=core; reject=Reject static mitosis-stage diagrams and clips without chromosome movement.; hard_negative_family=cytokinesis only; cell migration; diffusion,principle_id=BIO_CELL_001; priority=core; reject=Reject static mitosis-stage diagrams and clips without chromosome movement.; hard_negative_family=cytokinesis only; cell migration; diffusion
live cell mitosis spindle chromosome video,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,germination_and_development,0,60,Chromosomes align at the metaphase plate and move toward opposite poles.,principle_id=BIO_CELL_001; priority=core; reject=Reject static mitosis-stage diagrams and clips without chromosome movement.; hard_negative_family=cytokinesis only; cell migration; diffusion,principle_id=BIO_CELL_001; priority=core; reject=Reject static mitosis-stage diagrams and clips without chromosome movement.; hard_negative_family=cytokinesis only; cell migration; diffusion
cytokinesis contractile ring time lapse,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,germination_and_development,0,60,A cleavage furrow deepens until one cell becomes two.,principle_id=BIO_CELL_002; priority=core; reject=Reject static two-cell images or pure animation without real dynamics.; hard_negative_family=mitosis chromosome motion; apoptosis; cell migration,principle_id=BIO_CELL_002; priority=core; reject=Reject static two-cell images or pure animation without real dynamics.; hard_negative_family=mitosis chromosome motion; apoptosis; cell migration
cell cleavage furrow live imaging,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,germination_and_development,0,60,A cleavage furrow deepens until one cell becomes two.,principle_id=BIO_CELL_002; priority=core; reject=Reject static two-cell images or pure animation without real dynamics.; hard_negative_family=mitosis chromosome motion; apoptosis; cell migration,principle_id=BIO_CELL_002; priority=core; reject=Reject static two-cell images or pure animation without real dynamics.; hard_negative_family=mitosis chromosome motion; apoptosis; cell migration
cell migration pseudopod actin time lapse,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,organism_behavior_and_taxis,0,60,"Leading edge protrudes, adhesions shift, rear retracts, and the cell body translocates.",principle_id=BIO_CELL_003; priority=core; reject=Reject random cell shape changes without net displacement.; hard_negative_family=Brownian motion; ciliary swimming; mitosis,principle_id=BIO_CELL_003; priority=core; reject=Reject random cell shape changes without net displacement.; hard_negative_family=Brownian motion; ciliary swimming; mitosis
amoeboid cell migration time lapse,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,organism_behavior_and_taxis,0,60,"Leading edge protrudes, adhesions shift, rear retracts, and the cell body translocates.",principle_id=BIO_CELL_003; priority=core; reject=Reject random cell shape changes without net displacement.; hard_negative_family=Brownian motion; ciliary swimming; mitosis,principle_id=BIO_CELL_003; priority=core; reject=Reject random cell shape changes without net displacement.; hard_negative_family=Brownian motion; ciliary swimming; mitosis
immune cell crawling microscopy,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,organism_behavior_and_taxis,0,60,"Leading edge protrudes, adhesions shift, rear retracts, and the cell body translocates.",principle_id=BIO_CELL_003; priority=core; reject=Reject random cell shape changes without net displacement.; hard_negative_family=Brownian motion; ciliary swimming; mitosis,principle_id=BIO_CELL_003; priority=core; reject=Reject random cell shape changes without net displacement.; hard_negative_family=Brownian motion; ciliary swimming; mitosis
plasmolysis deplasmolysis time lapse microscopy,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,plant_water_relations_and_turgor,0,60,Protoplast shrinks away from cell wall in hypertonic solution and recovers in water.,principle_id=BIO_TRA_001; priority=core; reject=Reject single final plasmolyzed images or label-only school videos.; hard_negative_family=cytoplasmic streaming; stomata; diffusion in water,principle_id=BIO_TRA_001; priority=core; reject=Reject single final plasmolyzed images or label-only school videos.; hard_negative_family=cytoplasmic streaming; stomata; diffusion in water
onion cell plasmolysis video,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,plant_water_relations_and_turgor,0,60,Protoplast shrinks away from cell wall in hypertonic solution and recovers in water.,principle_id=BIO_TRA_001; priority=core; reject=Reject single final plasmolyzed images or label-only school videos.; hard_negative_family=cytoplasmic streaming; stomata; diffusion in water,principle_id=BIO_TRA_001; priority=core; reject=Reject single final plasmolyzed images or label-only school videos.; hard_negative_family=cytoplasmic streaming; stomata; diffusion in water
Elodea plasmolysis time lapse,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,plant_water_relations_and_turgor,0,60,Protoplast shrinks away from cell wall in hypertonic solution and recovers in water.,principle_id=BIO_TRA_001; priority=core; reject=Reject single final plasmolyzed images or label-only school videos.; hard_negative_family=cytoplasmic streaming; stomata; diffusion in water,principle_id=BIO_TRA_001; priority=core; reject=Reject single final plasmolyzed images or label-only school videos.; hard_negative_family=cytoplasmic streaming; stomata; diffusion in water
stomata opening closing guard cell turgor time lapse,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,plant_water_relations_and_turgor,0,60,Stomatal aperture increases or decreases as guard cells change shape.,principle_id=BIO_TRA_002; priority=core; reject=Reject static stomata views or graphs without visible pore change.; hard_negative_family=phototropism; plasmolysis; leaf folding,principle_id=BIO_TRA_002; priority=core; reject=Reject static stomata views or graphs without visible pore change.; hard_negative_family=phototropism; plasmolysis; leaf folding
stomatal aperture time lapse microscopy,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,plant_water_relations_and_turgor,0,60,Stomatal aperture increases or decreases as guard cells change shape.,principle_id=BIO_TRA_002; priority=core; reject=Reject static stomata views or graphs without visible pore change.; hard_negative_family=phototropism; plasmolysis; leaf folding,principle_id=BIO_TRA_002; priority=core; reject=Reject static stomata views or graphs without visible pore change.; hard_negative_family=phototropism; plasmolysis; leaf folding
Elodea cytoplasmic streaming chloroplast movement video,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,plant_water_relations_and_turgor,0,60,Chloroplasts or granules circulate along cell boundaries or strands.,principle_id=BIO_TRA_003; priority=core; reject=Reject if movement is only camera drift or Brownian jitter.; hard_negative_family=plasmolysis; diffusion; mitosis,principle_id=BIO_TRA_003; priority=core; reject=Reject if movement is only camera drift or Brownian jitter.; hard_negative_family=plasmolysis; diffusion; mitosis
cytoplasmic streaming plant cell microscopy,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,plant_water_relations_and_turgor,0,60,Chloroplasts or granules circulate along cell boundaries or strands.,principle_id=BIO_TRA_003; priority=core; reject=Reject if movement is only camera drift or Brownian jitter.; hard_negative_family=plasmolysis; diffusion; mitosis,principle_id=BIO_TRA_003; priority=core; reject=Reject if movement is only camera drift or Brownian jitter.; hard_negative_family=plasmolysis; diffusion; mitosis
photosynthesis oxygen bubbles light intensity video,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,plant_growth_and_tropisms,0,60,Oxygen bubbles increase after light exposure or light intensity changes.,principle_id=BIO_ENE_001; priority=core; reject=Reject generic plant growth videos or final gas collection only.; hard_negative_family=respiration CO2; boiling; gas evolution chemistry,principle_id=BIO_ENE_001; priority=core; reject=Reject generic plant growth videos or final gas collection only.; hard_negative_family=respiration CO2; boiling; gas evolution chemistry
Elodea photosynthesis oxygen bubble video,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,plant_growth_and_tropisms,0,60,Oxygen bubbles increase after light exposure or light intensity changes.,principle_id=BIO_ENE_001; priority=core; reject=Reject generic plant growth videos or final gas collection only.; hard_negative_family=respiration CO2; boiling; gas evolution chemistry,principle_id=BIO_ENE_001; priority=core; reject=Reject generic plant growth videos or final gas collection only.; hard_negative_family=respiration CO2; boiling; gas evolution chemistry
photosynthesis rate bubbles light video,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,plant_growth_and_tropisms,0,60,Oxygen bubbles increase after light exposure or light intensity changes.,principle_id=BIO_ENE_001; priority=core; reject=Reject generic plant growth videos or final gas collection only.; hard_negative_family=respiration CO2; boiling; gas evolution chemistry,principle_id=BIO_ENE_001; priority=core; reject=Reject generic plant growth videos or final gas collection only.; hard_negative_family=respiration CO2; boiling; gas evolution chemistry
cellular respiration CO2 indicator color change video,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,germination_and_development,0,60,CO2 indicator or sensor changes over time due to living tissue or microbes.,principle_id=BIO_ENE_002; priority=core; reject=Reject simple fermentation foam unless respiration mechanism and control are visible.; hard_negative_family=photosynthesis oxygen; acid-base demo; combustion,principle_id=BIO_ENE_002; priority=core; reject=Reject simple fermentation foam unless respiration mechanism and control are visible.; hard_negative_family=photosynthesis oxygen; acid-base demo; combustion
yeast respiration CO2 indicator video,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,germination_and_development,0,60,CO2 indicator or sensor changes over time due to living tissue or microbes.,principle_id=BIO_ENE_002; priority=core; reject=Reject simple fermentation foam unless respiration mechanism and control are visible.; hard_negative_family=photosynthesis oxygen; acid-base demo; combustion,principle_id=BIO_ENE_002; priority=core; reject=Reject simple fermentation foam unless respiration mechanism and control are visible.; hard_negative_family=photosynthesis oxygen; acid-base demo; combustion
seed respiration carbon dioxide indicator video,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,germination_and_development,0,60,CO2 indicator or sensor changes over time due to living tissue or microbes.,principle_id=BIO_ENE_002; priority=core; reject=Reject simple fermentation foam unless respiration mechanism and control are visible.; hard_negative_family=photosynthesis oxygen; acid-base demo; combustion,principle_id=BIO_ENE_002; priority=core; reject=Reject simple fermentation foam unless respiration mechanism and control are visible.; hard_negative_family=photosynthesis oxygen; acid-base demo; combustion
zebrafish embryo development time lapse,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,germination_and_development,0,60,"Cleavage, gastrulation, or tissue formation is visible over time.",principle_id=BIO_DEV_001; priority=core; reject=Reject final embryo stage slides or pure text overlays.; hard_negative_family=plant germination; cell migration only; mitosis isolated,principle_id=BIO_DEV_001; priority=core; reject=Reject final embryo stage slides or pure text overlays.; hard_negative_family=plant germination; cell migration only; mitosis isolated
embryogenesis cell division migration time lapse,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,germination_and_development,0,60,"Cleavage, gastrulation, or tissue formation is visible over time.",principle_id=BIO_DEV_001; priority=core; reject=Reject final embryo stage slides or pure text overlays.; hard_negative_family=plant germination; cell migration only; mitosis isolated,principle_id=BIO_DEV_001; priority=core; reject=Reject final embryo stage slides or pure text overlays.; hard_negative_family=plant germination; cell migration only; mitosis isolated
C elegans embryo development time lapse,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,germination_and_development,0,60,"Cleavage, gastrulation, or tissue formation is visible over time.",principle_id=BIO_DEV_001; priority=core; reject=Reject final embryo stage slides or pure text overlays.; hard_negative_family=plant germination; cell migration only; mitosis isolated,principle_id=BIO_DEV_001; priority=core; reject=Reject final embryo stage slides or pure text overlays.; hard_negative_family=plant germination; cell migration only; mitosis isolated
seed germination radicle emergence time lapse,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,germination_and_development,0,60,"Seed swells, radicle emerges, shoot later elongates.",principle_id=BIO_DEV_002; priority=core; reject=Reject generic seedling growth after germination if radicle emergence is absent.; hard_negative_family=phototropism; leaf unfurling; fungal growth,principle_id=BIO_DEV_002; priority=core; reject=Reject generic seedling growth after germination if radicle emergence is absent.; hard_negative_family=phototropism; leaf unfurling; fungal growth
bean germination root shoot time lapse,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,germination_and_development,0,60,"Seed swells, radicle emerges, shoot later elongates.",principle_id=BIO_DEV_002; priority=core; reject=Reject generic seedling growth after germination if radicle emergence is absent.; hard_negative_family=phototropism; leaf unfurling; fungal growth,principle_id=BIO_DEV_002; priority=core; reject=Reject generic seedling growth after germination if radicle emergence is absent.; hard_negative_family=phototropism; leaf unfurling; fungal growth
phototropism plant shoot bending time lapse,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,plant_growth_and_tropisms,0,60,Shoot curvature gradually changes toward a visible or known light source.,principle_id=BIO_TRO_001; priority=core; reject=Reject normal vertical growth without directional stimulus.; hard_negative_family=circumnutation; germination; stomata,principle_id=BIO_TRO_001; priority=core; reject=Reject normal vertical growth without directional stimulus.; hard_negative_family=circumnutation; germination; stomata
plant growing toward light time lapse,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,plant_growth_and_tropisms,0,60,Shoot curvature gradually changes toward a visible or known light source.,principle_id=BIO_TRO_001; priority=core; reject=Reject normal vertical growth without directional stimulus.; hard_negative_family=circumnutation; germination; stomata,principle_id=BIO_TRO_001; priority=core; reject=Reject normal vertical growth without directional stimulus.; hard_negative_family=circumnutation; germination; stomata
root gravitropism time lapse,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,plant_growth_and_tropisms,0,60,Root tip curves downward or shoot curves upward after rotation.,principle_id=BIO_TRO_002; priority=core; reject=Reject clips without reorientation or gravity-relative change.; hard_negative_family=phototropism; hydrotropism; circumnutation,principle_id=BIO_TRO_002; priority=core; reject=Reject clips without reorientation or gravity-relative change.; hard_negative_family=phototropism; hydrotropism; circumnutation
plant gravitropism reorientation video,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,plant_growth_and_tropisms,0,60,Root tip curves downward or shoot curves upward after rotation.,principle_id=BIO_TRO_002; priority=core; reject=Reject clips without reorientation or gravity-relative change.; hard_negative_family=phototropism; hydrotropism; circumnutation,principle_id=BIO_TRO_002; priority=core; reject=Reject clips without reorientation or gravity-relative change.; hard_negative_family=phototropism; hydrotropism; circumnutation
shoot gravitropism time lapse,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,plant_growth_and_tropisms,0,60,Root tip curves downward or shoot curves upward after rotation.,principle_id=BIO_TRO_002; priority=core; reject=Reject clips without reorientation or gravity-relative change.; hard_negative_family=phototropism; hydrotropism; circumnutation,principle_id=BIO_TRO_002; priority=core; reject=Reject clips without reorientation or gravity-relative change.; hard_negative_family=phototropism; hydrotropism; circumnutation
root hydrotropism water gradient time lapse,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,plant_growth_and_tropisms,0,60,Root curvature changes toward wetter side over hours or days.,principle_id=BIO_TRO_003; priority=core; reject=Reject source-only hydrotropism setups without root curvature.; hard_negative_family=gravitropism; halotropism; germination,principle_id=BIO_TRO_003; priority=core; reject=Reject source-only hydrotropism setups without root curvature.; hard_negative_family=gravitropism; halotropism; germination
plant root growing toward water video,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,plant_growth_and_tropisms,0,60,Root curvature changes toward wetter side over hours or days.,principle_id=BIO_TRO_003; priority=core; reject=Reject source-only hydrotropism setups without root curvature.; hard_negative_family=gravitropism; halotropism; germination,principle_id=BIO_TRO_003; priority=core; reject=Reject source-only hydrotropism setups without root curvature.; hard_negative_family=gravitropism; halotropism; germination
thigmonasty plant movement touch time lapse,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,plant_nastic_movements,0,60,Touch is followed by rapid closure or bending independent of stimulus direction.,principle_id=BIO_NAS_001; priority=core; reject=Reject closed-only/open-only frames or clips where touch is not visible.; hard_negative_family=thigmotropism; phototropism; wilting,principle_id=BIO_NAS_001; priority=core; reject=Reject closed-only/open-only frames or clips where touch is not visible.; hard_negative_family=thigmotropism; phototropism; wilting
Mimosa leaf folding touch video,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,plant_nastic_movements,0,60,Touch is followed by rapid closure or bending independent of stimulus direction.,principle_id=BIO_NAS_001; priority=core; reject=Reject closed-only/open-only frames or clips where touch is not visible.; hard_negative_family=thigmotropism; phototropism; wilting,principle_id=BIO_NAS_001; priority=core; reject=Reject closed-only/open-only frames or clips where touch is not visible.; hard_negative_family=thigmotropism; phototropism; wilting
Venus flytrap closure trigger hair video,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,plant_nastic_movements,0,60,Touch is followed by rapid closure or bending independent of stimulus direction.,principle_id=BIO_NAS_001; priority=core; reject=Reject closed-only/open-only frames or clips where touch is not visible.; hard_negative_family=thigmotropism; phototropism; wilting,principle_id=BIO_NAS_001; priority=core; reject=Reject closed-only/open-only frames or clips where touch is not visible.; hard_negative_family=thigmotropism; phototropism; wilting
nyctinasty leaf movement time lapse,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,plant_nastic_movements,0,60,Leaves open/close or change angle over day-night transitions.,principle_id=BIO_NAS_002; priority=core; reject=Reject generic wind movement or one-state leaf images.; hard_negative_family=phototropism; wilting; touch response,principle_id=BIO_NAS_002; priority=core; reject=Reject generic wind movement or one-state leaf images.; hard_negative_family=phototropism; wilting; touch response
Oxalis leaf sleep movement video,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,plant_nastic_movements,0,60,Leaves open/close or change angle over day-night transitions.,principle_id=BIO_NAS_002; priority=core; reject=Reject generic wind movement or one-state leaf images.; hard_negative_family=phototropism; wilting; touch response,principle_id=BIO_NAS_002; priority=core; reject=Reject generic wind movement or one-state leaf images.; hard_negative_family=phototropism; wilting; touch response
circadian plant leaf movement time lapse,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,plant_nastic_movements,0,60,Leaves open/close or change angle over day-night transitions.,principle_id=BIO_NAS_002; priority=core; reject=Reject generic wind movement or one-state leaf images.; hard_negative_family=phototropism; wilting; touch response,principle_id=BIO_NAS_002; priority=core; reject=Reject generic wind movement or one-state leaf images.; hard_negative_family=phototropism; wilting; touch response
