search_term,initial_category,candidate_knowledge_point,domain_seed,subdomain_seed,default_start_sec,default_end_sec,why_dynamic,notes,collector_notes,capability_label,dynamic_concept_id,dynamic_concept,capability_queue_rank
magnetic field alignment particles video,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,electromagnetism_and_fields,0,60,"Needles, particles, or domains rotate or align when field direction changes.",principle_id=PHY_EM_001; priority=core; reject=Reject clips with magnets touching objects directly without field-driven alignment.; hard_negative_family=electric-field migration; gravity; fluid flow; capability_label=DMR,principle_id=PHY_EM_001; priority=core; reject=Reject clips with magnets touching objects directly without field-driven alignment.; hard_negative_family=electric-field migration; gravity; fluid flow; capability_label=DMR,DMR,,,70
magnetic dipole torque alignment video,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,electromagnetism_and_fields,0,60,"Needles, particles, or domains rotate or align when field direction changes.",principle_id=PHY_EM_001; priority=core; reject=Reject clips with magnets touching objects directly without field-driven alignment.; hard_negative_family=electric-field migration; gravity; fluid flow; capability_label=DMR,principle_id=PHY_EM_001; priority=core; reject=Reject clips with magnets touching objects directly without field-driven alignment.; hard_negative_family=electric-field migration; gravity; fluid flow; capability_label=DMR,DMR,,,71
Venturi effect manometer video,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,fluids_pressure_and_buoyancy,0,60,Manometer/liquid column or pressure indicator changes when flow starts or constriction speed increases.,principle_id=PHY_FLU_001; priority=core; reject=Reject videos showing only a pipe shape without flow or pressure response.; hard_negative_family=capillary rise; buoyancy; siphon; capability_label=DMR,principle_id=PHY_FLU_001; priority=core; reject=Reject videos showing only a pipe shape without flow or pressure response.; hard_negative_family=capillary rise; buoyancy; siphon; capability_label=DMR,DMR,,,72
Bernoulli pressure drop constriction video,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,fluids_pressure_and_buoyancy,0,60,Manometer/liquid column or pressure indicator changes when flow starts or constriction speed increases.,principle_id=PHY_FLU_001; priority=core; reject=Reject videos showing only a pipe shape without flow or pressure response.; hard_negative_family=capillary rise; buoyancy; siphon; capability_label=DMR,principle_id=PHY_FLU_001; priority=core; reject=Reject videos showing only a pipe shape without flow or pressure response.; hard_negative_family=capillary rise; buoyancy; siphon; capability_label=DMR,DMR,,,73
Rayleigh Taylor instability video,physics_physical_systems,__construct_after_dcr_video_gate__,physics_physical_systems,fluids_pressure_and_buoyancy,0,60,Finger-like plumes grow downward/upward from an unstable density interface.,capability_label=DCR; dynamic_concept_id=DCR_PHY_RT_001; linked_principle_id=PHY_FLU_002; aliases=Rayleigh Taylor fingers; density inversion plumes; reject=Reject clips with no visible interface evolution.; hard_negative_concepts=diffusion; convection cell; simple pouring,capability_label=DCR; dynamic_concept_id=DCR_PHY_RT_001; linked_principle_id=PHY_FLU_002; aliases=Rayleigh Taylor fingers; density inversion plumes; reject=Reject clips with no visible interface evolution.; hard_negative_concepts=diffusion; convection cell; simple pouring,DCR,DCR_PHY_RT_001,Rayleigh-Taylor instability,74
free fall acceleration slow motion,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,motion_forces_and_energy,0,60,Frame-to-frame downward displacement increases or tracked velocity increases during fall.,"principle_id=PHY_FOR_001; priority=core; reject=Reject static falling-object images, title-only gravity claims, and clips where the object is already moving without visible acceleration.; hard_negative_family=constant velocity; buoyant rise; projectile horizontal component; capability_label=DMR","principle_id=PHY_FOR_001; priority=core; reject=Reject static falling-object images, title-only gravity claims, and clips where the object is already moving without visible acceleration.; hard_negative_family=constant velocity; buoyant rise; projectile horizontal component; capability_label=DMR",DMR,,,75
falling object increasing speed video,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,motion_forces_and_energy,0,60,Frame-to-frame downward displacement increases or tracked velocity increases during fall.,"principle_id=PHY_FOR_001; priority=core; reject=Reject static falling-object images, title-only gravity claims, and clips where the object is already moving without visible acceleration.; hard_negative_family=constant velocity; buoyant rise; projectile horizontal component; capability_label=DMR","principle_id=PHY_FOR_001; priority=core; reject=Reject static falling-object images, title-only gravity claims, and clips where the object is already moving without visible acceleration.; hard_negative_family=constant velocity; buoyant rise; projectile horizontal component; capability_label=DMR",DMR,,,76
banana kick slow motion,physics_physical_systems,__construct_after_dcr_video_gate__,physics_physical_systems,motion_forces_and_energy,0,60,A spinning ball follows a visibly curved path after launch.,capability_label=DCR; dynamic_concept_id=DCR_PHY_MAGNUS_001; linked_principle_id=PHY_FOR_002; aliases=banana shot; curveball; bending free kick; Magnus kick; reject=Reject clips without visible curved trajectory or without evidence of spin.; hard_negative_concepts=ordinary projectile arc; knuckleball; straight kick,capability_label=DCR; dynamic_concept_id=DCR_PHY_MAGNUS_001; linked_principle_id=PHY_FOR_002; aliases=banana shot; curveball; bending free kick; Magnus kick; reject=Reject clips without visible curved trajectory or without evidence of spin.; hard_negative_concepts=ordinary projectile arc; knuckleball; straight kick,DCR,DCR_PHY_MAGNUS_001,banana kick / curveball,77
pendulum energy transfer slow motion,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,oscillation_rotation_and_vibration,0,60,Speed is highest near the bottom and lowest near the turning points over repeated cycles.,principle_id=PHY_OSC_001; priority=core; reject=Reject static pendulum images or clips without at least one full swing.; hard_negative_family=linear fall; rotating disk; fluid wave; capability_label=DMR,principle_id=PHY_OSC_001; priority=core; reject=Reject static pendulum images or clips without at least one full swing.; hard_negative_family=linear fall; rotating disk; fluid wave; capability_label=DMR,DMR,,,78
pendulum kinetic potential energy video,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,oscillation_rotation_and_vibration,0,60,Speed is highest near the bottom and lowest near the turning points over repeated cycles.,principle_id=PHY_OSC_001; priority=core; reject=Reject static pendulum images or clips without at least one full swing.; hard_negative_family=linear fall; rotating disk; fluid wave; capability_label=DMR,principle_id=PHY_OSC_001; priority=core; reject=Reject static pendulum images or clips without at least one full swing.; hard_negative_family=linear fall; rotating disk; fluid wave; capability_label=DMR,DMR,,,79
twisting dive slow motion,physics_physical_systems,__construct_after_dcr_video_gate__,physics_physical_systems,oscillation_rotation_and_vibration,0,60,"The diver transitions through takeoff, somersault, twist, and entry.","capability_label=DCR; dynamic_concept_id=DCR_PHY_DIVE_001; linked_principle_id=PHY_OSC_003; aliases=twisting dive; platform dive twist; springboard twist; reject=Reject clips missing takeoff or entry, or where twist count is not visible.; hard_negative_concepts=plain somersault; cartwheel dive; static pose","capability_label=DCR; dynamic_concept_id=DCR_PHY_DIVE_001; linked_principle_id=PHY_OSC_003; aliases=twisting dive; platform dive twist; springboard twist; reject=Reject clips missing takeoff or entry, or where twist count is not visible.; hard_negative_concepts=plain somersault; cartwheel dive; static pose",DCR,DCR_PHY_DIVE_001,somersault twist dive,80
surface tension droplet relaxation slow motion,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,surface_and_capillary_processes,0,60,"Elongated drops retract, oscillate, or relax toward rounder shapes.",principle_id=PHY_SUR_001; priority=core; reject=Reject still droplets or splash-only clips without relaxation dynamics.; hard_negative_family=gravity fall; wetting spread; evaporation; capability_label=DMR,principle_id=PHY_SUR_001; priority=core; reject=Reject still droplets or splash-only clips without relaxation dynamics.; hard_negative_family=gravity fall; wetting spread; evaporation; capability_label=DMR,DMR,,,81
liquid bridge surface tension retraction video,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,surface_and_capillary_processes,0,60,"Elongated drops retract, oscillate, or relax toward rounder shapes.",principle_id=PHY_SUR_001; priority=core; reject=Reject still droplets or splash-only clips without relaxation dynamics.; hard_negative_family=gravity fall; wetting spread; evaporation; capability_label=DMR,principle_id=PHY_SUR_001; priority=core; reject=Reject still droplets or splash-only clips without relaxation dynamics.; hard_negative_family=gravity fall; wetting spread; evaporation; capability_label=DMR,DMR,,,82
capillary rise time lapse,physics_physical_systems,__construct_after_dcr_video_gate__,physics_physical_systems,surface_and_capillary_processes,0,60,"A liquid front rises or advances through a narrow tube, paper, or porous structure.",capability_label=DCR; dynamic_concept_id=DCR_PHY_CAP_001; linked_principle_id=PHY_SUR_002; aliases=capillary action; wicking front; paper chromatography rise; reject=Reject clips where liquid is simply poured or already at final height.; hard_negative_concepts=bulk pouring; diffusion cloud; surface beading,capability_label=DCR; dynamic_concept_id=DCR_PHY_CAP_001; linked_principle_id=PHY_SUR_002; aliases=capillary action; wicking front; paper chromatography rise; reject=Reject clips where liquid is simply poured or already at final height.; hard_negative_concepts=bulk pouring; diffusion cloud; surface beading,DCR,DCR_PHY_CAP_001,capillary rise,83
bimetallic strip thermal expansion video,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,thermal_physical_response,0,60,Composite strip or bonded structure curves as temperature changes.,principle_id=PHY_THR_001; priority=core; reject=Reject heating clips without visible deformation or temperature-linked response.; hard_negative_family=plastic deformation by force; pendulum; melting; capability_label=DMR,principle_id=PHY_THR_001; priority=core; reject=Reject heating clips without visible deformation or temperature-linked response.; hard_negative_family=plastic deformation by force; pendulum; melting; capability_label=DMR,DMR,,,84
differential thermal expansion bending video,physics_physical_systems,__construct_after_principle_video_gate__,physics_physical_systems,thermal_physical_response,0,60,Composite strip or bonded structure curves as temperature changes.,principle_id=PHY_THR_001; priority=core; reject=Reject heating clips without visible deformation or temperature-linked response.; hard_negative_family=plastic deformation by force; pendulum; melting; capability_label=DMR,principle_id=PHY_THR_001; priority=core; reject=Reject heating clips without visible deformation or temperature-linked response.; hard_negative_family=plastic deformation by force; pendulum; melting; capability_label=DMR,DMR,,,85
Leidenfrost effect droplet slow motion,physics_physical_systems,__construct_after_dcr_video_gate__,physics_physical_systems,thermal_physical_response,0,60,"Droplets skitter, glide, or persist on a hot surface instead of immediately boiling away.",capability_label=DCR; dynamic_concept_id=DCR_PHY_LEIDEN_001; linked_principle_id=PHY_THR_002; aliases=Leidenfrost droplet; vapor cushion droplet; reject=Reject ordinary boiling without gliding or vapor-layer behavior.; hard_negative_concepts=ordinary boiling; wetting spread; evaporation,capability_label=DCR; dynamic_concept_id=DCR_PHY_LEIDEN_001; linked_principle_id=PHY_THR_002; aliases=Leidenfrost droplet; vapor cushion droplet; reject=Reject ordinary boiling without gliding or vapor-layer behavior.; hard_negative_concepts=ordinary boiling; wetting spread; evaporation,DCR,DCR_PHY_LEIDEN_001,Leidenfrost effect,86
peristaltic locomotion caterpillar time lapse,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,animal_locomotion_and_biomechanics,0,60,Soft body shortens/extends in waves while contact points shift and the body advances.,principle_id=BIO_LOC_002; priority=core; reject=Reject legged walking where no contraction wave is visible.; hard_negative_family=jet propulsion; tripod gait; passive drift; capability_label=DMR,principle_id=BIO_LOC_002; priority=core; reject=Reject legged walking where no contraction wave is visible.; hard_negative_family=jet propulsion; tripod gait; passive drift; capability_label=DMR,DMR,,,87
earthworm peristaltic crawling video,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,animal_locomotion_and_biomechanics,0,60,Soft body shortens/extends in waves while contact points shift and the body advances.,principle_id=BIO_LOC_002; priority=core; reject=Reject legged walking where no contraction wave is visible.; hard_negative_family=jet propulsion; tripod gait; passive drift; capability_label=DMR,principle_id=BIO_LOC_002; priority=core; reject=Reject legged walking where no contraction wave is visible.; hard_negative_family=jet propulsion; tripod gait; passive drift; capability_label=DMR,DMR,,,88
squid jet propulsion slow motion,biology_living_systems,__construct_after_dcr_video_gate__,biology_living_systems,animal_locomotion_and_biomechanics,0,60,A bell or mantle contracts and the body moves opposite the expelled fluid.,capability_label=DCR; dynamic_concept_id=DCR_BIO_JET_001; linked_principle_id=BIO_LOC_001; aliases=jellyfish propulsion; squid jetting; reject=Reject swimming clips without visible contraction-pulse displacement.; hard_negative_concepts=flapping lift; undulation; crawling,capability_label=DCR; dynamic_concept_id=DCR_BIO_JET_001; linked_principle_id=BIO_LOC_001; aliases=jellyfish propulsion; squid jetting; reject=Reject swimming clips without visible contraction-pulse displacement.; hard_negative_concepts=flapping lift; undulation; crawling,DCR,DCR_BIO_JET_001,jet propulsion swimming,89
cytokinesis contractile ring time lapse,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,germination_and_development,0,60,A cleavage furrow deepens until one cell becomes two.,principle_id=BIO_CELL_002; priority=core; reject=Reject static two-cell images or pure animation without real dynamics.; hard_negative_family=mitosis chromosome motion; apoptosis; cell migration; capability_label=DMR,principle_id=BIO_CELL_002; priority=core; reject=Reject static two-cell images or pure animation without real dynamics.; hard_negative_family=mitosis chromosome motion; apoptosis; cell migration; capability_label=DMR,DMR,,,90
cell cleavage furrow live imaging,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,germination_and_development,0,60,A cleavage furrow deepens until one cell becomes two.,principle_id=BIO_CELL_002; priority=core; reject=Reject static two-cell images or pure animation without real dynamics.; hard_negative_family=mitosis chromosome motion; apoptosis; cell migration; capability_label=DMR,principle_id=BIO_CELL_002; priority=core; reject=Reject static two-cell images or pure animation without real dynamics.; hard_negative_family=mitosis chromosome motion; apoptosis; cell migration; capability_label=DMR,DMR,,,91
cell division mitosis microscopy video,biology_living_systems,__construct_after_dcr_video_gate__,biology_living_systems,germination_and_development,0,60,"Chromosomes align, separate, and move to opposite poles.",capability_label=DCR; dynamic_concept_id=DCR_BIO_MITOSIS_001; linked_principle_id=BIO_CELL_001; aliases=cell division mitosis; chromosome segregation; reject=Reject static diagrams or clips without chromosome movement.; hard_negative_concepts=cytokinesis only; cell migration; apoptosis,capability_label=DCR; dynamic_concept_id=DCR_BIO_MITOSIS_001; linked_principle_id=BIO_CELL_001; aliases=cell division mitosis; chromosome segregation; reject=Reject static diagrams or clips without chromosome movement.; hard_negative_concepts=cytokinesis only; cell migration; apoptosis,DCR,DCR_BIO_MITOSIS_001,mitosis,92
immune cell crawling microscopy,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,organism_behavior_and_taxis,0,60,"Leading edge protrudes, adhesions shift, rear retracts, and the cell body translocates.",principle_id=BIO_CELL_003; priority=core; reject=Reject random cell shape changes without net displacement.; hard_negative_family=Brownian motion; ciliary swimming; mitosis; capability_label=DMR,principle_id=BIO_CELL_003; priority=core; reject=Reject random cell shape changes without net displacement.; hard_negative_family=Brownian motion; ciliary swimming; mitosis; capability_label=DMR,DMR,,,93
chemotaxis cell migration gradient time lapse,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,organism_behavior_and_taxis,0,60,Trajectories accumulate toward/away from a chemical source or gradient.,principle_id=BIO_TAX_001; priority=core; reject=Reject random wandering without gradient cue.; hard_negative_family=phototaxis; Brownian motion; thermotaxis; capability_label=DMR,principle_id=BIO_TAX_001; priority=core; reject=Reject random wandering without gradient cue.; hard_negative_family=phototaxis; Brownian motion; thermotaxis; capability_label=DMR,DMR,,,94
courtship display animal behavior video,biology_living_systems,__construct_after_dcr_video_gate__,biology_living_systems,organism_behavior_and_taxis,0,60,The animal performs a repeated display sequence toward a potential mate or rival.,capability_label=DCR; dynamic_concept_id=DCR_BIO_DISPLAY_001; linked_principle_id=BIO_TAX_004; aliases=mating display; courtship dance; lek display; reject=Reject generic walking or flight without display context and sequence.; hard_negative_concepts=foraging; locomotion; aggression display,capability_label=DCR; dynamic_concept_id=DCR_BIO_DISPLAY_001; linked_principle_id=BIO_TAX_004; aliases=mating display; courtship dance; lek display; reject=Reject generic walking or flight without display context and sequence.; hard_negative_concepts=foraging; locomotion; aggression display,DCR,DCR_BIO_DISPLAY_001,courtship display,95
photosynthesis rate bubbles light video,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,plant_growth_and_tropisms,0,60,Oxygen bubbles increase after light exposure or light intensity changes.,principle_id=BIO_ENE_001; priority=core; reject=Reject generic plant growth videos or final gas collection only.; hard_negative_family=respiration CO2; boiling; gas evolution chemistry; capability_label=DMR,principle_id=BIO_ENE_001; priority=core; reject=Reject generic plant growth videos or final gas collection only.; hard_negative_family=respiration CO2; boiling; gas evolution chemistry; capability_label=DMR,DMR,,,96
phototropism plant shoot bending time lapse,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,plant_growth_and_tropisms,0,60,Shoot curvature gradually changes toward a visible or known light source.,principle_id=BIO_TRO_001; priority=core; reject=Reject normal vertical growth without directional stimulus.; hard_negative_family=circumnutation; germination; stomata; capability_label=DMR,principle_id=BIO_TRO_001; priority=core; reject=Reject normal vertical growth without directional stimulus.; hard_negative_family=circumnutation; germination; stomata; capability_label=DMR,DMR,,,97
plant gravitropism reorientation video,biology_living_systems,__construct_after_dcr_video_gate__,biology_living_systems,plant_growth_and_tropisms,0,60,Roots or shoots curve after the plant is rotated.,capability_label=DCR; dynamic_concept_id=DCR_BIO_GRAVI_001; linked_principle_id=BIO_TRO_002; aliases=geotropism; root gravitropism; shoot gravitropism; reject=Reject clips without a rotation/reorientation event.; hard_negative_concepts=phototropism; hydrotropism; simple elongation,capability_label=DCR; dynamic_concept_id=DCR_BIO_GRAVI_001; linked_principle_id=BIO_TRO_002; aliases=geotropism; root gravitropism; shoot gravitropism; reject=Reject clips without a rotation/reorientation event.; hard_negative_concepts=phototropism; hydrotropism; simple elongation,DCR,DCR_BIO_GRAVI_001,gravitropism,98
Venus flytrap closure trigger hair video,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,plant_nastic_movements,0,60,Touch is followed by rapid closure or bending independent of stimulus direction.,principle_id=BIO_NAS_001; priority=core; reject=Reject closed-only/open-only frames or clips where touch is not visible.; hard_negative_family=thigmotropism; phototropism; wilting; capability_label=DMR,principle_id=BIO_NAS_001; priority=core; reject=Reject closed-only/open-only frames or clips where touch is not visible.; hard_negative_family=thigmotropism; phototropism; wilting; capability_label=DMR,DMR,,,99
nyctinasty leaf movement time lapse,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,plant_nastic_movements,0,60,Leaves open/close or change angle over day-night transitions.,principle_id=BIO_NAS_002; priority=core; reject=Reject generic wind movement or one-state leaf images.; hard_negative_family=phototropism; wilting; touch response; capability_label=DMR,principle_id=BIO_NAS_002; priority=core; reject=Reject generic wind movement or one-state leaf images.; hard_negative_family=phototropism; wilting; touch response; capability_label=DMR,DMR,,,100
Elodea plasmolysis time lapse,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,plant_water_relations_and_turgor,0,60,Protoplast shrinks away from cell wall in hypertonic solution and recovers in water.,principle_id=BIO_TRA_001; priority=core; reject=Reject single final plasmolyzed images or label-only school videos.; hard_negative_family=cytoplasmic streaming; stomata; diffusion in water; capability_label=DMR,principle_id=BIO_TRA_001; priority=core; reject=Reject single final plasmolyzed images or label-only school videos.; hard_negative_family=cytoplasmic streaming; stomata; diffusion in water; capability_label=DMR,DMR,,,101
stomata opening closing guard cell turgor time lapse,biology_living_systems,__construct_after_principle_video_gate__,biology_living_systems,plant_water_relations_and_turgor,0,60,Stomatal aperture increases or decreases as guard cells change shape.,principle_id=BIO_TRA_002; priority=core; reject=Reject static stomata views or graphs without visible pore change.; hard_negative_family=phototropism; plasmolysis; leaf folding; capability_label=DMR,principle_id=BIO_TRA_002; priority=core; reject=Reject static stomata views or graphs without visible pore change.; hard_negative_family=phototropism; plasmolysis; leaf folding; capability_label=DMR,DMR,,,102
plant cell plasmolysis video,biology_living_systems,__construct_after_dcr_video_gate__,biology_living_systems,plant_water_relations_and_turgor,0,60,The protoplast shrinks away from the cell wall and may recover in water.,capability_label=DCR; dynamic_concept_id=DCR_BIO_PLASM_001; linked_principle_id=BIO_TRA_001; aliases=plasmolysis; deplasmolysis; plant cell osmotic shrinkage; reject=Reject single final plasmolyzed images or label-only clips.; hard_negative_concepts=cytoplasmic streaming; cell division; diffusion dye,capability_label=DCR; dynamic_concept_id=DCR_BIO_PLASM_001; linked_principle_id=BIO_TRA_001; aliases=plasmolysis; deplasmolysis; plant cell osmotic shrinkage; reject=Reject single final plasmolyzed images or label-only clips.; hard_negative_concepts=cytoplasmic streaming; cell division; diffusion dye,DCR,DCR_BIO_PLASM_001,plasmolysis and deplasmolysis,103
microfluidic diffusion video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,diffusion_mixing_and_transport,0,60,Dye or solute front broadens from high concentration to low concentration.,principle_id=CHM_DIF_001; priority=core; reject=Reject turbulent stirring when diffusion cannot be separated.; hard_negative_family=vortex mixing; precipitation; convection; capability_label=DMR,principle_id=CHM_DIF_001; priority=core; reject=Reject turbulent stirring when diffusion cannot be separated.; hard_negative_family=vortex mixing; precipitation; convection; capability_label=DMR,DMR,,,104
laminar mixing stretching folding dye video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,diffusion_mixing_and_transport,0,60,Colored bands elongate into thin layers and may reverse under reversed shear.,principle_id=CHM_DIF_002; priority=core; reject=Reject fully turbulent mixing or simple shaking.; hard_negative_family=diffusion only; vortex turbulence; precipitation; capability_label=DMR,principle_id=CHM_DIF_002; priority=core; reject=Reject fully turbulent mixing or simple shaking.; hard_negative_family=diffusion only; vortex turbulence; precipitation; capability_label=DMR,DMR,,,105
reversible laminar mixing video,chemistry_materials_change,__construct_after_dcr_video_gate__,chemistry_materials_change,diffusion_mixing_and_transport,0,60,Colored bands elongate into layers and may reverse when shear is reversed.,capability_label=DCR; dynamic_concept_id=DCR_CHEM_DIFF_001; linked_principle_id=CHM_DIF_002; aliases=reversible laminar mixing; viscous folding; reject=Reject simple shaking or turbulent mixing clips.; hard_negative_concepts=turbulent mixing; diffusion only; precipitation,capability_label=DCR; dynamic_concept_id=DCR_CHEM_DIFF_001; linked_principle_id=CHM_DIF_002; aliases=reversible laminar mixing; viscous folding; reject=Reject simple shaking or turbulent mixing clips.; hard_negative_concepts=turbulent mixing; diffusion only; precipitation,DCR,DCR_CHEM_DIFF_001,Taylor-Couette laminar mixing,106
hydrogen gas evolution reaction video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,gas_evolution_and_combustion,0,60,"Bubbles nucleate and rise, foam grows, or liquid volume changes after reactants meet.",principle_id=CHM_GAS_001; priority=core; reject=Reject ordinary boiling or pre-existing bubbles.; hard_negative_family=boiling; precipitation; diffusion; capability_label=DMR,principle_id=CHM_GAS_001; priority=core; reject=Reject ordinary boiling or pre-existing bubbles.; hard_negative_family=boiling; precipitation; diffusion; capability_label=DMR,DMR,,,107
flame extinction oxygen deprivation video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,gas_evolution_and_combustion,0,60,"Flame appears, propagates, or extinguishes after oxygen/fuel/temperature changes.",principle_id=CHM_GAS_002; priority=core; reject=Reject clips that only show a flame without causal change.; hard_negative_family=redox color; evaporation; glow without flame; capability_label=DMR,principle_id=CHM_GAS_002; priority=core; reject=Reject clips that only show a flame without causal change.; hard_negative_family=redox color; evaporation; glow without flame; capability_label=DMR,DMR,,,108
heat softening material deformation video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,material_deformation_and_response,0,60,"Material deforms, sags, flows, or breaks as temperature increases.",principle_id=CHM_MAT_002; priority=core; reject=Reject post-heating final shape without thermal sequence.; hard_negative_family=mechanical cutting; crystallization; combustion; capability_label=DMR,principle_id=CHM_MAT_002; priority=core; reject=Reject post-heating final shape without thermal sequence.; hard_negative_family=mechanical cutting; crystallization; combustion; capability_label=DMR,DMR,,,109
polymer melting deformation time lapse,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,material_deformation_and_response,0,60,"Material deforms, sags, flows, or breaks as temperature increases.",principle_id=CHM_MAT_002; priority=core; reject=Reject post-heating final shape without thermal sequence.; hard_negative_family=mechanical cutting; crystallization; combustion; capability_label=DMR,principle_id=CHM_MAT_002; priority=core; reject=Reject post-heating final shape without thermal sequence.; hard_negative_family=mechanical cutting; crystallization; combustion; capability_label=DMR,DMR,,,110
non Newtonian fluid impact video,chemistry_materials_change,__construct_after_dcr_video_gate__,chemistry_materials_change,material_deformation_and_response,0,60,The same material flows slowly but resists or fractures under rapid impact.,capability_label=DCR; dynamic_concept_id=DCR_CHEM_THICK_001; linked_principle_id=CHM_MAT_001; aliases=non-Newtonian fluid impact; oobleck solid-like impact; reject=Reject clips showing only slow pouring or only a static impact aftermath.; hard_negative_concepts=high viscosity liquid; gel; plastic clay,capability_label=DCR; dynamic_concept_id=DCR_CHEM_THICK_001; linked_principle_id=CHM_MAT_001; aliases=non-Newtonian fluid impact; oobleck solid-like impact; reject=Reject clips showing only slow pouring or only a static impact aftermath.; hard_negative_concepts=high viscosity liquid; gel; plastic clay,DCR,DCR_CHEM_THICK_001,shear thickening,111
sodium acetate crystallization video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,phase_change_and_crystallization,0,60,Crystal nuclei appear and faces/fronts expand through solution.,principle_id=CHM_PHA_001; priority=core; reject=Reject static crystals or source-only crystallization titles.; hard_negative_family=precipitation cloud; dye diffusion; melting only; capability_label=DMR,principle_id=CHM_PHA_001; priority=core; reject=Reject static crystals or source-only crystallization titles.; hard_negative_family=precipitation cloud; dye diffusion; melting only; capability_label=DMR,DMR,,,112
solidification front time lapse,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,phase_change_and_crystallization,0,60,A visible solid-liquid boundary advances or dendrites grow.,principle_id=CHM_PHA_002; priority=core; reject=Reject final frozen samples without front propagation.; hard_negative_family=precipitation; evaporation; gas evolution; capability_label=DMR,principle_id=CHM_PHA_002; priority=core; reject=Reject final frozen samples without front propagation.; hard_negative_family=precipitation; evaporation; gas evolution; capability_label=DMR,DMR,,,113
metal dendrite growth video,chemistry_materials_change,__construct_after_dcr_video_gate__,chemistry_materials_change,phase_change_and_crystallization,0,60,Branching crystals extend from nucleation sites over time.,capability_label=DCR; dynamic_concept_id=DCR_CHEM_DEND_001; linked_principle_id=CHM_PHA_002; aliases=dendrite growth; branching crystal growth; metal dendrites; reject=Reject final crystals without visible growth sequence.; hard_negative_concepts=precipitate cloud; final crystal; random sediment,capability_label=DCR; dynamic_concept_id=DCR_CHEM_DEND_001; linked_principle_id=CHM_PHA_002; aliases=dendrite growth; branching crystal growth; metal dendrites; reject=Reject final crystals without visible growth sequence.; hard_negative_concepts=precipitate cloud; final crystal; random sediment,DCR,DCR_CHEM_DEND_001,dendritic crystal growth,114
lead iodide precipitation video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,precipitation_and_solubility,0,60,Solutions become cloudy or solid particles appear after mixing.,principle_id=CHM_PRE_001; priority=core; reject=Reject if the solid is already present before mixing or the identity is only in source text.; hard_negative_family=gas bubbles; dye diffusion; crystallization front; capability_label=DMR,principle_id=CHM_PRE_001; priority=core; reject=Reject if the solid is already present before mixing or the identity is only in source text.; hard_negative_family=gas bubbles; dye diffusion; crystallization front; capability_label=DMR,DMR,,,115
diffusion precipitation band reaction video,chemistry_materials_change,__construct_after_principle_video_gate__,chemistry_materials_change,precipitation_and_solubility,0,60,"Solid appears where two liquids meet, often as rings, tubes, or membranes.",principle_id=CHM_PRE_002; priority=core; reject=Reject bulk turbidity without visible interface or local formation.; hard_negative_family=homogeneous crystallization; pH color; gas evolution; capability_label=DMR,principle_id=CHM_PRE_002; priority=core; reject=Reject bulk turbidity without visible interface or local formation.; hard_negative_family=homogeneous crystallization; pH color; gas evolution; capability_label=DMR,DMR,,,116
